Quotation,Credit
The moon is my mother, -- Sylvia Plath
It's the moon that moves me., -- Bavo Dhooge
They asked the Moon her advice., -- Erin Morgenstern
The moon in her chariot of pearl, -- Oscar Wilde
Be the moon in somebody's night., -- Yasmin Mogahed
"There above them it hung, that moon.", -- Virginia Woolf
"Go slowly, my lovely moon, go slowly.", -- Khaled Hosseini
"Be witness to me, O thou blessed moon", -- William Shakespeare
Moonlight is the twinkle of your love., -- Debasish Mridha
"Everyone is a moon, and has a dark side which he never shows to anybody.", Mark Twain
